Epoch,Train Loss,Val Loss,Val Valence RMSE,Val Arousal RMSE,Val Overall RMSE,Val Valence MAE,Val Arousal MAE,Val Valence R2,Val Arousal R2
200,0.1988,0.8214,0.2498,0.1366,0.2013,0.1923,0.1111,-0.1756,-0.1094
201,0.1752,0.8492,0.2518,0.1382,0.2031,0.1968,0.1117,-0.1946,-0.1351
202,0.2011,0.8527,0.2513,0.1363,0.2022,0.1972,0.1101,-0.1902,-0.1043
203,0.2128,0.825,0.2436,0.1337,0.1965,0.189,0.1082,-0.1178,-0.0632
204,0.1771,0.8358,0.2542,0.1339,0.2031,0.1997,0.1074,-0.2176,-0.0653
205,0.2104,0.8601,0.2686,0.1331,0.212,0.2108,0.1066,-0.3598,-0.0527
206,0.2519,0.8353,0.2585,0.1324,0.2054,0.2024,0.1073,-0.2592,-0.0426
207,0.2088,0.8182,0.2452,0.1345,0.1978,0.188,0.1091,-0.1332,-0.0754
208,0.1701,0.8404,0.2477,0.1366,0.2001,0.1932,0.1105,-0.1566,-0.11
209,0.1997,0.835,0.2462,0.1369,0.1992,0.1918,0.1109,-0.1418,-0.1147
210,0.1888,0.8125,0.2426,0.1368,0.1969,0.1867,0.1107,-0.1093,-0.1118
211,0.1756,0.82,0.2505,0.1357,0.2015,0.1953,0.11,-0.1826,-0.0954
212,0.1874,0.8223,0.2524,0.1349,0.2024,0.1963,0.1093,-0.2003,-0.0817
213,0.1792,0.8161,0.2457,0.1356,0.1984,0.1893,0.1098,-0.1373,-0.0928
214,0.1723,0.8335,0.2464,0.1364,0.1991,0.1911,0.11,-0.1437,-0.1064
215,0.1871,0.8354,0.2461,0.1358,0.1987,0.1906,0.1094,-0.1413,-0.0958
216,0.1806,0.8248,0.2441,0.1357,0.1975,0.1875,0.1095,-0.1228,-0.0945
217,0.1641,0.8312,0.2507,0.1366,0.2019,0.1942,0.1101,-0.1845,-0.1097
218,0.1838,0.8299,0.2517,0.1375,0.2028,0.1947,0.1111,-0.1934,-0.1237
219,0.1752,0.828,0.2483,0.1395,0.2014,0.1911,0.1127,-0.1614,-0.1567
220,0.17,0.8377,0.2478,0.1399,0.2012,0.1922,0.1128,-0.1573,-0.1638
221,0.175,0.8289,0.244,0.1384,0.1983,0.189,0.1118,-0.1214,-0.1384
222,0.1711,0.8167,0.2413,0.1366,0.196,0.1864,0.1104,-0.0968,-0.1092
223,0.1627,0.8219,0.2446,0.1359,0.1978,0.1906,0.11,-0.127,-0.0986
224,0.1677,0.8215,0.2451,0.1356,0.198,0.1902,0.1101,-0.1319,-0.0924
225,0.163,0.8269,0.2454,0.1369,0.1987,0.1882,0.1111,-0.135,-0.1139
226,0.1651,0.8341,0.2482,0.1375,0.2006,0.19,0.1117,-0.1605,-0.1239
227,0.1602,0.8318,0.2487,0.1365,0.2006,0.1905,0.1109,-0.1658,-0.1082
228,0.1551,0.8335,0.2495,0.1366,0.2011,0.192,0.111,-0.1732,-0.1089
229,0.161,0.832,0.2469,0.1372,0.1997,0.1891,0.1113,-0.1486,-0.1184
230,0.1571,0.8327,0.2455,0.1378,0.199,0.1882,0.1118,-0.1353,-0.1288
231,0.1547,0.8302,0.2442,0.1376,0.1982,0.1876,0.1117,-0.1241,-0.1257
232,0.1589,0.8252,0.2441,0.1373,0.198,0.1874,0.1118,-0.1226,-0.1214
233,0.1618,0.8227,0.245,0.1367,0.1984,0.1879,0.1116,-0.1312,-0.1116
234,0.1562,0.8212,0.2451,0.1367,0.1984,0.1876,0.1115,-0.1318,-0.1106
235,0.1513,0.8213,0.2451,0.1365,0.1984,0.187,0.1112,-0.1322,-0.1083
236,0.1572,0.8196,0.2459,0.1364,0.1988,0.1878,0.1111,-0.1391,-0.1062
237,0.1576,0.8193,0.2468,0.1365,0.1994,0.1894,0.111,-0.1476,-0.1073
238,0.1493,0.8189,0.2463,0.1364,0.1991,0.1881,0.1107,-0.1431,-0.1054
239,0.1504,0.8213,0.2463,0.1366,0.1991,0.1874,0.1107,-0.1427,-0.1099
240,0.156,0.8189,0.2454,0.1363,0.1985,0.1867,0.1104,-0.135,-0.1047
241,0.1474,0.8172,0.245,0.1364,0.1983,0.1866,0.1105,-0.1307,-0.1066
242,0.1501,0.8174,0.2451,0.1369,0.1985,0.1867,0.1109,-0.132,-0.1148
243,0.154,0.8183,0.2452,0.1375,0.1988,0.187,0.1114,-0.1326,-0.1246
244,0.1525,0.8201,0.2449,0.1377,0.1987,0.1872,0.1114,-0.1303,-0.1278
